scene_id,acquisition_date,orbit_relative,pass_direction,status,area_km2,threshold_db,otsu_eta,valley_ratio,separability,detail
S1A_IW_GRDH_1SDV_20210912T125631_20210912T125656_039649_04B016_D6E9,2021-09-12,27,ASC,ok,198.6934587091852,-21.311768990891412,0.9301961084855316,0.08100757462012353,0.9601273509381915,
S1A_IW_GRDH_1SDV_20210924T125632_20210924T125657_039824_04B5F6_ED41,2021-09-24,27,ASC,ok,208.37645280399465,-21.563621457895362,0.9183851347808852,0.10580988621820261,0.9515882784704367,
S1A_IW_GRDH_1SDV_20211006T125632_20211006T125657_039999_04BC10_9E08,2021-10-06,27,ASC,ok,206.78021833737643,-21.80857012261968,0.9031062710110621,0.12659090140709306,0.9408695803578557,
S1A_IW_GRDH_1SDV_20211018T125632_20211018T125657_040174_04C225_55BA,2021-10-18,27,ASC,ok,204.59250890359908,-22.312096076816825,0.8763701545804465,0.16792307263296835,0.9234526491489146,
S1A_IW_GRDH_1SDV_20211030T125632_20211030T125657_040349_04C839_C0BA,2021-10-30,27,ASC,ok,202.11067204452877,-22.309994788518722,0.8895639995309765,0.14904334650261813,0.9326748371515601,
S1A_IW_GRDH_1SDV_20211111T125632_20211111T125657_040524_04CE50_89E7,2021-11-11,27,ASC,ok,204.03074261812904,-22.56207358854168,0.8587954490177033,0.2743984037208653,0.9130943745283551,
S1A_IW_GRDH_1SDV_20211123T125631_20211123T125656_040699_04D45B_7479,2021-11-23,27,ASC,ok,207.97556921877774,-22.68892144685677,0.8427969838045734,0.38917468501413566,0.9027592273358902,
S1A_IW_GRDH_1SDV_20211205T125631_20211205T125656_040874_04DA78_8AB6,2021-12-05,27,ASC,ok,212.5908512830835,-22.435648811168058,0.8362995292548512,0.48985236431131424,0.9000893469043658,
S1A_IW_GRDH_1SDV_20211217T125631_20211217T125656_041049_04E069_9D77,2021-12-17,27,ASC,ok,211.6182446299243,-22.687535562693533,0.8248198396944688,0.5747509807844313,0.8934981850937603,
S1A_IW_GRDH_1SDV_20211229T125630_20211229T125655_041224_04E63A_DFD2,2021-12-29,27,ASC,ok,208.22391706836794,-22.687737998707007,0.8150456347193756,0.5272990831318517,0.8875717948659356,
S1A_IW_GRDH_1SDV_20220110T125629_20220110T125654_041399_04EC23_A5E6,2022-01-10,27,ASC,ok,191.7738108388058,-22.312259220184966,0.873538982936231,0.18099287888881427,0.9260248752887501,
S1A_IW_GRDH_1SDV_20220122T125629_20220122T125654_041574_04F1E1_2AE7,2022-01-22,27,ASC,ok,184.63795252471058,-21.810152508832246,0.9080640483072806,0.08624677070547665,0.9474562639969921,
S1A_IW_GRDH_1SDV_20220203T125628_20220203T125653_041749_04F7D1_3746,2022-02-03,27,ASC,ok,186.08995256766553,-21.93726092831483,0.9029896906322679,0.08988966585178156,0.9439604488113773,
S1A_IW_GRDH_1SDV_20220215T125628_20220215T125653_041924_04FDF9_A13D,2022-02-15,27,ASC,ok,190.8600528361019,-22.184989128656664,0.8607283655092216,0.23108579118593622,0.9180186532328509,
S1A_IW_GRDH_1SDV_20220227T125628_20220227T125653_042099_0503FF_96B8,2022-02-27,27,ASC,ok,188.27988141157869,-22.18759507327756,0.8517917729641606,0.27487311044143126,0.9137590442100092,
S1A_IW_GRDH_1SDV_20220311T125628_20220311T125653_042274_0509EE_8310,2022-03-11,27,ASC,ok,182.68762134877753,-22.560084017582685,0.8198225910943909,0.33001387838342733,0.8937929609264315,
S1A_IW_GRDH_1SDV_20220323T125628_20220323T125653_042449_050FE4_A0A8,2022-03-23,27,ASC,ok,181.94295857074718,-22.312294608856806,0.8139430478522273,0.3855139386569416,0.8908418283080782,
S1A_IW_GRDH_1SDV_20220404T125629_20220404T125654_042624_0515D9_FF16,2022-04-04,27,ASC,ok,187.80955405039285,-22.31426180597729,0.8075963462145935,0.45503727140265465,0.8851488485159722,
S1A_IW_GRDH_1SDV_20220416T125629_20220416T125654_042799_051BBC_C49E,2022-04-16,27,ASC,abstain,,-21.936394962094642,0.7963317524781535,0.8135866629654572,0.8783915910843163,histogram not bimodal
S1A_IW_GRDH_1SDV_20220428T125629_20220428T125654_042974_052174_0D45,2022-04-28,27,ASC,abstain,,-21.93605872013459,0.7982149015268296,0.9247131268299373,0.8797583424266064,histogram not bimodal
S1A_IW_GRDH_1SDV_20220510T125630_20220510T125655_043149_052740_7B8F,2022-05-10,27,ASC,abstain,,-22.06311235140186,0.7999815543416895,0.9692670447334496,0.8800821658661495,histogram not bimodal
S1A_IW_GRDH_1SDV_20220522T125631_20220522T125656_043324_052C76_44B7,2022-05-22,27,ASC,abstain,,-22.06101515578863,0.8052497145993291,0.9377127532338492,0.8832600862388669,histogram not bimodal
S1A_IW_GRDH_1SDV_20220603T125632_20220603T125657_043499_05319C_C87D,2022-06-03,27,ASC,abstain,,-22.063516634921307,0.7877162553480412,0.8475275405007366,0.8734393368403782,histogram not bimodal
S1A_IW_GRDH_1SDV_20220615T125632_20220615T125657_043674_0536DA_6386,2022-06-15,27,ASC,abstain,,-20.31005779844887,0.7454347067517201,0.9921373955892647,0.8529193061536874,histogram not bimodal
S1A_IW_GRDH_1SDV_20220627T125633_20220627T125658_043849_053C18_9E50,2022-06-27,27,ASC,ok,174.69814131797693,-22.062513243698984,0.7588813773250345,0.6255115368603895,0.8590729258073956,
S1A_IW_GRDH_1SDV_20220709T125634_20220709T125659_044024_054146_5288,2022-07-09,27,ASC,ok,136.3138161786929,-22.185605270247628,0.8269937064780913,0.15617793238558628,0.9126899468462512,
S1A_IW_GRDH_1SDV_20220721T125635_20220721T125700_044199_054682_066B,2022-07-21,27,ASC,ok,160.02450576506592,-21.68711231252219,0.8831006840654391,0.09280883241991271,0.9373248077073317,
S1A_IW_GRDH_1SDV_20220802T125636_20220802T125701_044374_054BAC_95B3,2022-08-02,27,ASC,ok,186.22869165222218,-21.68439510060007,0.9113622671443797,0.0865320699317652,0.9491809820259159,
S1A_IW_GRDH_1SDV_20220814T125636_20220814T125701_044549_055128_9B19,2022-08-14,27,ASC,ok,212.8202833827443,-20.942117963400204,0.9084752584369572,0.13072473809757842,0.9494306671481525,
S1A_IW_GRDH_1SDV_20220826T125637_20220826T125702_044724_05570E_0344,2022-08-26,27,ASC,ok,241.2167513664287,-21.56489160158499,0.9254249704739426,0.11051602075205345,0.9569159395626694,
S1A_IW_GRDH_1SDV_20220907T125638_20220907T125703_044899_055CF1_8109,2022-09-07,27,ASC,ok,244.05070966863272,-21.562799466731143,0.9266802770711867,0.1181591243920121,0.9578169333019565,
S1A_IW_GRDH_1SDV_20220919T125637_20220919T125702_045074_0562DA_ECD4,2022-09-19,27,ASC,ok,241.3750441476832,-21.683694063468394,0.9227707215823222,0.12040635113504924,0.9541356456527177,
S1A_IW_GRDH_1SDV_20221001T125638_20221001T125703_045249_0568B6_9D9F,2022-10-01,27,ASC,ok,243.5812447653285,-21.685445987561838,0.9229689927492816,0.13471902082642778,0.9543409440951607,
S1A_IW_GRDH_1SDV_20221013T125638_20221013T125703_045424_056E94_7ABE,2022-10-13,27,ASC,ok,243.00882131529914,-21.683947745880133,0.9198882933878926,0.13160021614519873,0.952029998984429,
