scene_id,acquisition_date,orbit_relative,pass_direction,status,area_km2,threshold_db,otsu_eta,valley_ratio,separability,detail
S1A_IW_GRDH_1SDV_20200109T125618_20200109T125643_030724_0385BF_7B1B,2020-01-09,27,ASC,ok,67.82559927526958,-22.6247293532083,0.7985982183520641,0.33530625810043985,0.8946142685819826,
S1A_IW_GRDH_1SDV_20200121T125617_20200121T125642_030899_038BE6_7A86,2020-01-21,27,ASC,ok,76.51136048846345,-20.559177226101454,0.7895026459012832,0.2631628100098662,0.8896933251728042,
S1A_IW_GRDH_1SDV_20200202T125617_20200202T125642_031074_039201_DC54,2020-02-02,27,ASC,ok,76.20793364944748,-20.687416482596944,0.7808526190325904,0.26594430922587037,0.884277432311634,
S1A_IW_GRDH_1SDV_20200214T125617_20200214T125642_031249_039815_5FC0,2020-02-14,27,ASC,ok,75.32383994008723,-20.561713271136398,0.7684714944329071,0.30286774492800395,0.8777816167940454,
S1A_IW_GRDH_1SDV_20200226T125616_20200226T125641_031424_039E1C_D166,2020-02-26,27,ASC,ok,75.17041282384683,-20.566144539362572,0.7589443509138334,0.3574462945306933,0.8712143703884114,
S1A_IW_GRDH_1SDV_20200309T125617_20200309T125642_031599_03A42F_B8D5,2020-03-09,27,ASC,ok,72.9566736922094,-20.314280217726978,0.7551509747808954,0.32615821457124017,0.8700421809746465,
S1A_IW_GRDH_1SDV_20200321T125617_20200321T125642_031774_03AA4C_5CCF,2020-03-21,27,ASC,ok,76.7141538473535,-20.31073710187871,0.7676907872377884,0.3494257120095916,0.875404757405367,
S1A_IW_GRDH_1SDV_20200402T125617_20200402T125642_031949_03B076_3A69,2020-04-02,27,ASC,ok,75.25014508287666,-20.310118019048037,0.7813742694686026,0.2813660596243705,0.8846134769191679,
S1A_IW_GRDH_1SDV_20200414T125617_20200414T125642_032124_03B6A4_7423,2020-04-14,27,ASC,ok,77.0137362087716,-20.437516782339966,0.7881069967451969,0.28255594604247264,0.8879397505094104,
S1A_IW_GRDH_1SDV_20200426T125618_20200426T125643_032299_03BCC4_A85D,2020-04-26,27,ASC,ok,76.21623006069471,-20.808249676014267,0.7766242328896313,0.3040264878973668,0.8822517967593643,
S1A_IW_GRDH_1SDV_20200508T125618_20200508T125643_032474_03C2C3_BC79,2020-05-08,27,ASC,ok,79.93583953339856,-20.81326305977936,0.7746437909812055,0.33029715535089893,0.8781061018296832,
S1A_IW_GRDH_1SDV_20200520T125619_20200520T125644_032649_03C810_4211,2020-05-20,27,ASC,ok,80.42045057785293,-20.690803081805452,0.7686517116259888,0.36809521202485324,0.874091210711346,
S1A_IW_GRDH_1SDV_20200601T125620_20200601T125645_032824_03CD53_DF3B,2020-06-01,27,ASC,ok,77.75318972751016,-20.812329043846738,0.7893344120582583,0.29130663301361526,0.8886770536874207,
S1A_IW_GRDH_1SDV_20200613T125621_20200613T125646_032999_03D286_A18A,2020-06-13,27,ASC,ok,80.84473749204528,-20.687844660512585,0.7797252334924178,0.3187025461684402,0.8808476429270229,
S1A_IW_GRDH_1SDV_20200625T125621_20200625T125646_033174_03D7D4_717A,2020-06-25,27,ASC,ok,80.09653008168429,-20.559009405891043,0.7746257325622422,0.33271531558264467,0.8780090741330437,
S1A_IW_GRDH_1SDV_20200707T125622_20200707T125647_033349_03DD28_DD7B,2020-07-07,27,ASC,ok,79.66734781975144,-20.564621827035353,0.7705212111273972,0.3503059177406409,0.8756248762105784,
S1A_IW_GRDH_1SDV_20200719T125623_20200719T125648_033524_03E27F_3A10,2020-07-19,27,ASC,ok,71.52726120119813,-20.560465070703263,0.7925527853004656,0.20925368042279,0.8949866967437039,
S1A_IW_GRDH_1SDV_20200731T125624_20200731T125649_033699_03E7E0_FAB0,2020-07-31,27,ASC,ok,67.24060661760669,-20.56337443160544,0.7966113175465274,0.16082416586885062,0.9004279532985798,
S1A_IW_GRDH_1SDV_20200812T125624_20200812T125649_033874_03EDB7_A7E8,2020-08-12,27,ASC,ok,66.5345315449654,-20.309493558953758,0.7873730468658106,0.20794111481489136,0.8949751435945522,
S1A_IW_GRDH_1SDV_20200824T125625_20200824T125650_034049_03F3E1_4688,2020-08-24,27,ASC,ok,64.67213394010275,-20.56305319522711,0.8028489137568754,0.14171107065303237,0.9063956518553266,
S1A_IW_GRDH_1SDV_20200905T125625_20200905T125650_034224_03FA09_DAC7,2020-09-05,27,ASC,ok,70.31887690093956,-20.432762196106836,0.8203971358437151,0.13149334996294282,0.9119850648288821,
S1A_IW_GRDH_1SDV_20200917T125626_20200917T125651_034399_040028_8586,2020-09-17,27,ASC,ok,73.44829908079248,-20.557958994433527,0.8152296583510471,0.1571697726054482,0.90693197615803,
S1A_IW_GRDH_1SDV_20200929T125626_20200929T125651_034574_04065E_E208,2020-09-29,27,ASC,ok,75.72854368170181,-20.434309639820448,0.7962006595262652,0.22975857412769476,0.8937915509496962,
S1A_IW_GRDH_1SDV_20201011T125626_20201011T125651_034749_040C7F_674B,2020-10-11,27,ASC,ok,74.72753694956917,-20.686454264273074,0.7888379957438596,0.23892265573319538,0.8904974332281415,
S1A_IW_GRDH_1SDV_20201023T125626_20201023T125651_034924_041292_A9E9,2020-10-23,27,ASC,ok,76.86345102444109,-20.68663892138119,0.7771850562545987,0.2889960078815048,0.8820099840494778,
S1A_IW_GRDH_1SDV_20201104T125626_20201104T125651_035099_041897_E3B7,2020-11-04,27,ASC,ok,77.79122879983964,-20.811523997069518,0.7631641579726107,0.3383485501025127,0.8723038112415434,
S1A_IW_GRDH_1SDV_20201116T125626_20201116T125651_035274_041EAD_261E,2020-11-16,27,ASC,ok,71.3094648798223,-20.686848700680745,0.7556686434581992,0.27749213373447307,0.8728138788581307,
S1A_IW_GRDH_1SDV_20201128T125626_20201128T125651_035449_0424C2_78DA,2020-11-28,27,ASC,ok,81.53427282992392,-20.56444248793668,0.7389465557778151,0.4621625239120758,0.854146918652538,
S1A_IW_GRDH_1SDV_20201210T125625_20201210T125650_035624_042AC6_3AF7,2020-12-10,27,ASC,ok,78.4911769299397,-20.56201226563673,0.7270870290184802,0.4419176707554233,0.8484810793574502,
S1A_IW_GRDH_1SDV_20201222T125625_20201222T125650_035799_0430CD_ECDE,2020-12-22,27,ASC,ok,77.05443576106259,-20.560066365160043,0.7270353224475191,0.44332005620257997,0.8494670665169889,
S1A_IW_GRDH_1SDV_20210103T125624_20210103T125649_035974_0436E3_FEDD,2021-01-03,27,ASC,ok,64.97808877733146,-20.188355163039127,0.7465713579299066,0.258912993696072,0.8696864170995363,
S1A_IW_GRDH_1SDV_20210115T125623_20210115T125648_036149_043D07_4E6A,2021-01-15,27,ASC,ok,72.73562418899388,-20.311547320526582,0.7287210009814987,0.34722837440709897,0.8527906767416522,
S1A_IW_GRDH_1SDV_20210127T125623_20210127T125648_036324_04431D_AC1F,2021-01-27,27,ASC,ok,71.74026504357629,-20.312041235987014,0.7263108246698048,0.3519210263377786,0.8523098830714771,
S1A_IW_GRDH_1SDV_20210208T125623_20210208T125648_036499_04492C_AF75,2021-02-08,27,ASC,ok,73.28590374706296,-20.186640615602716,0.7255922892423543,0.3832908376750065,0.8508625480643718,
S1A_IW_GRDH_1SDV_20210220T125622_20210220T125647_036674_044F47_CC08,2021-02-20,27,ASC,ok,72.31543696100397,-20.43501032451716,0.7256983467001212,0.38283824627945184,0.8523465666864911,
S1A_IW_GRDH_1SDV_20210304T125622_20210304T125647_036849_045552_198A,2021-03-04,27,ASC,ok,73.70634224664498,-20.438015117923683,0.7332660190083272,0.3940564736107587,0.8558131064699603,
